1;Ring of Wind;None;Agent;40;;
2;Ring of Stargazing;None;Mage;25;;Dog Lord
3;Ring of Iron Magic;Evil;Mage;30;;Dark Lts.
4;Ring of Impersonation;None;Agent;25;;
5;Ring of Barahir;Good;Command;35;;Rangers
6;Ring of Axardil;None;Command;10;Access to Teleport;
7;Nazgauga;Evil;Mage;35;;B.Sorcerer
8;Lorglin;None;Mage;10;;Noldo
9;Elenya;None;Stealth;15;;
10;Wolor Priest Ring;None;Mage;25;;Dog Lord
11;Vilya;None;Mage;50;;Noldo
12;Nenya;None;Mage;50;;Sinda
13;Narya;None;Mage;50;;
14;The One Ring;None;Stealth;40;;
15;Tinculin;None;Mage;40;Access to Spirit Mastery;
16;Mothras;None;Combat;500;;
17;Ring of Angrenost;None;Combat;500;;White Wizard 
18;Tablets of Dark Knowledge;Evil;Mage;15;;
19;Staff of Storms;None;Open Seas;-;;
20;Staff of the Serpent;None;Mage;10;;Ice King
21;Staff of Earthmastery;None;Mage;20;Access to Conjuring Ways;
22;Rauzgnagli;Evil;Combat;1750;;B.Sorcerer
23;Neldelhach;None;Combat;750;;
24;Ghostbane;None;Combat;750;;Dunlendings
25;Staff of Bronze;None;Mage;25;;Ice King
26;Mallorn Staff;None;Mage;30;;Noldo
27;Palantir of Osgiliath;None;Scry Area;-;;
28;Palantir of Minas Ithil;None;Scry Area;-;;Witch-King
29;Palantir of Minas Anor;None;Scry Area;-;;N.Gondor
30;Palantir of Orthanc;None;Scry Area;-;;White Wizard 
31;Palantir of Annuminas;None;Scry Area;-;;
32;Palantir of Elostirion;None;Scry Area;-;;Noldo
33;Palantir of Amon Sul;None;Scry Area;-;;
34;Orb of Dark Seeing;Evil;Mage;20;;
35;Orb of Seeing;None;Mage;30;;Silvan
36;Bone Ring;None;Mage;10;;Rangers
37;Voice of the Dark Tower;Evil;Emissary;20;;Dark Lts.
38;Silver Rod of Anduni;Good;Command;25;;Rangers
39;Miramarth;Evil;Agent;20;;
40;Gaergil;None;Open Seas;-;;Noldo
41;Mantle of Doriath;Good;Hide Pop Center;-;;Noldo
42;Collar of Might;None;Mage;30;;
43;Cloak of the Heavens;None;Agent;20;;Dog Lord
44;Collohwesta;None;Stealth;25;;
45;Cloak of the Abyss;None;Stealth;40;;Dark Lts.
46;Robes of the Orc Priests;Evil;Command;15;;Dark Lts.
47;Belt of Durin;None;Command;20;;
48;Thologaer Ciryatano;None;Mage;30;;Witch-King
49;Shield of Anarion;None;Mage;20;;Ice King
50;Ovir Crown;None;Mage;15;;Noldo
51;Ossanna;Evil;Command;15;;Witch-King
52;Morgul Plate;None;Agent;10;;Long Rider
53;Listening Helm;None;Command;15;;Fire King
54;Helm of Sen Jey;None;Stealth;10;;Silvan
55;Helm of Shadow;None;Command;25;;Cloud Lord
56;Helm of the Mumak-king;None;Command;20;;
57;Helm of Isildur;Evil;Command;15;;Dark Lts.
58;Helm of the Dark;None;Command;15;;Noldo
59;Gaerennon;None;Command;15;;
60;Durin's Armor/Shield;None;Command;15;;
61;Dragon Helm of Dor-Lomin;Evil;Mage;30;;Dragon Lord
62;Dragon Helm/Armor;None;Mage;15;;N.Gondor
63;Deepwood Bracelet;None;Stealth;30;;Silvan
64;Bracers of the Mists;None;Command;10;;Witch-King
65;Angbor;None;Command;10;;B.Sorcerer
66;Bracers of Chennacatt;Evil;Command;35;;Witch-King
67;Ulukai;Evil;Combat;500;;Witch-King
68;Thrakurghash;None;Mage;10;;
69;Corantir;Evil;Agent;30;;Long Rider
70;Ring of Binding;Evil;Mage;20;;Long Rider
71;Talisman of Absorption;None;Agent;20;;Long Rider
72;Cloak of Duvorn;None;Combat;500;;B.Sorcerer
73;Yellow Hammer;None;Combat;750;;Dog Lord
74;War-dancer;Evil;Combat;750;;Witch-King
75;Vasamacil;None;Combat;750;;Khand
76;Usriev;Good;Combat;750;;
77;Ungolrist;Evil;Combat;500;;Quiet Avenger
78;Sword of Soul Reducing;None;Combat;500;;Long Rider
79;Stormless Bow;None;Combat;500;;Ice King
80;Snow Hammer;Good;Combat;750;;
81;Sil-Maegil;None;Combat;750;;Witch-King
82;Romoquenaro;None;Combat;750;;Dwarves
83;Orcrist;None;Combat;500;;Fire King
84;Ongrum;None;Combat;500;;S.Gondor
85;Navorn;Evil;Combat;750;Access to Spirit Mastery;Witch-King
86;Nallagurth;Evil;Combat;500;;
87;Morlhach;None;Combat;750;;
88;Macirille;None;Combat;1000;;Noldo
89;Macilromen;None;Combat;1250;;Noldo
90;Helkaluin;Good;Combat;500;;Rangers
91;Gordur;None;Combat;500;;Long Rider
92;Horse-Tamer;Good;Combat;500;;Rangers
93;Gurthdur;Good;Combat;750;;
94;Glamdring;None;Combat;500;;
95;Gildagor;None;Combat;500;;
96;Fonhrad;Evil;Combat;750;;Quiet Avenger
97;Fire's Edge;None;Combat;1000;;
98;Elhach;Evil;Combat;500;;Dragon Lord
99;Elfhewer;Evil;Combat;500;;
100;Elfbane;Good;Combat;500;Access to Teleport;
101;E Voronwe;None;Combat;750;Access to Conjuring Ways;
102;Durin's Axe;Good;Combat;500;;
103;Durcrist;Evil;Combat;750;;Cloud Lord
104;Dawnsword;None;Combat;500;;
105;Culok;None;Combat;500;;Rangers
106;Cubragol;None;Combat;500;;Rangers
107;Curaran;None;Combat;500;;
108;Craig-olf-Ti;None;Combat;750;;Cloud Lord
109;Cloud Bow;None;Combat;500;;
110;Cirmegil;Evil;Combat;500;;Fire King
111;Believer's Bane;None;Combat;500;;Fire King
112;Burning Blade;Good;Combat;750;;
113;Ar-Sil;Good;Combat;500;;
114;Angian;None;Combat;750;;
115;Fire Mace;None;Combat;750;;
116;Blood Spike;None;Combat;750;;Dark Lts.
117;Hatred Curse;None;Combat;1000;;Dark Lts.
118;Skull Flail;None;Combat;750;;Dark Lts.
119;Moon-Axe;None;Open Seas;-;;
120;Amulet of Sea Mastery;Good;Combat;750;;Silvan
121;Troll Slayer;Good;Combat;750;;Silvan
122;Orc Slayer;None;Stealth;25;;N.Gondor
123;Wood-shadow;Good;Stealth;25;;Gandalf
124;Robes of Aman;Good;Combat;750;;
125;Aeglin;Good;Combat;750;;Sinda
126;Anarmacil;Good;Combat;1750;;
127;Aranruth;None;Combat;1000;;
128;Aratocam;None;Combat;500;;
129;Bow of Thunder and Bone;None;Combat;500;;
130;Brodic Spear;None;Combat;1750;;
131;Caranlhach;None;Combat;1000;;
132;Daeron's Rapier;None;Combat;500;Access to Conjuring Ways;
133;Dagger of Green Wisdom;Good;Combat;750;;
134;Dagnirdraug;None;Combat;750;Access to Spirit Mastery;Sinda
135;Elenruth;None;Combat;1500;;
136;Foam-cleaver;None;Combat;750;;Dunlendings
137;Bloodrunner;None;Combat;750;;Dog Lord
138;Air-cleaver;None;Combat;500;;Dog Lord
139;Gersebroc;Good;Combat;750;;
140;Red Robes;None;Command;20;;B.Sorcerer
141;Hue Changer;None;Combat;500;;Ice King
142;Kirrauko;Good;Combat;1250;;
143;Night-piercer;None;Combat;500;;Quiet Avenger
144;Orcring;Good;Combat;2250;;
145;Orcruin;Good;Combat;2250;;
