1;1;1;6;6;06;06;06;04;06;02
2;7;1;12;6;12;06;12;04;12;02
3;13;1;18;6;18;06;18;04;18;02
4;19;1;24;6;24;06;24;04;24;02
5;25;1;30;6;30;06;30;04;30;02
6;1;7;6;12;06;12;06;10;06;08
7;7;7;12;12;12;12;12;10;12;08
8;13;7;18;12;18;12;18;10;18;08
9;19;7;24;12;24;12;24;10;24;08
10;25;7;30;12;30;12;30;10;30;08
11;1;13;6;18;06;18;06;16;06;14
12;7;13;12;18;12;18;12;16;12;14
13;13;13;18;18;18;18;18;16;18;14
14;19;13;24;18;24;18;24;16;24;14
15;25;13;30;18;30;18;30;16;30;14
16;1;19;6;24;06;24;06;22;06;20
17;7;19;12;24;12;24;12;22;12;20
18;13;19;18;24;18;24;18;22;18;20
19;19;19;24;24;24;24;24;22;24;20
20;25;19;30;24;30;24;30;22;30;20
21;1;25;6;30;06;30;06;28;06;26
22;7;25;12;30;12;30;12;28;12;26
23;13;25;18;30;18;30;18;28;18;26
24;19;25;24;30;24;30;24;28;24;26
25;25;25;30;30;30;30;30;28;30;26
